"","pop_brk","alert_lab","alert_type","alert_stringency","impact_mean","sd_impact","eff_mean","sd_eff","ppv","n_alerts","missed_prop","n_outbreaks","delay_mean","sd_delay","std_impact","std_eff","std_ppv","std_missed","std_delay","util_score"
"1","≥ 500k","≥ 7.5 per 10K","rate","7",2351.4,2592.6,3.5,4.7,0.9,9,1,207,6.1,3.4,1.6,2.9,1.9,-1.9,-0.8,3.7
"2","< 50k","≥ 25 weekly","case","4",286.2,375.4,1223.9,7649.2,0.3,71,0,43,4.8,4.9,0.6,2.6,0.6,0.4,-1.3,2.9
"3","< 50k","≥ 100 total","cum case","5",274.6,405.8,1031.4,6928.3,0.3,91,0,43,3.3,4.3,0.5,2,0.3,0.4,-0.8,2.4
"4","< 50k","≥ 1000 total","cum case","7",584.8,580.1,64.4,112.1,0.8,4,0.9,43,3.2,5.7,3,-1.1,3.1,-2.3,-0.8,1.9
"5","[50k, 500k)","≥ 1000 total","cum case","7",471.5,699.3,1.9,2.2,0.5,15,1,278,6.3,3.9,2,0.3,2.7,-2,-1.1,1.9
"6","[50k, 500k)","≥ 50 weekly","case","5",376.2,618.3,2.3,4.1,0.4,265,0.4,278,5.3,5,1.1,0.8,1.1,-0.3,-0.8,1.9
"7","[50k, 500k)","≥ 500 total","cum case","6",449.7,766.2,2.2,3,0.4,78,0.8,278,5.5,3.2,1.8,0.7,1.5,-1.6,-0.8,1.6
"8","< 50k","≥ 50 weekly","case","5",361.5,437.8,855.7,4552,0.4,30,0.4,43,4.1,2.2,1.2,1.4,0.9,-0.8,-1.1,1.6
"9","[50k, 500k)","≥ 5 per 10K","rate","6",350.1,651.8,3.2,5.5,0.3,134,0.7,278,6.2,5.6,0.9,2,0.8,-1.2,-1,1.5
"10","[50k, 500k)","≥ 7.5 per 10K","rate","7",348.7,548.6,3.8,6.5,0.3,82,0.8,278,6.5,6.1,0.8,2.7,0.7,-1.6,-1.1,1.5
"11","[50k, 500k)","≥ 2.5 per 10K","rate","5",328.8,570.8,2.6,4.7,0.3,315,0.4,278,5.3,4.7,0.7,1.2,0.6,-0.3,-0.8,1.4
"12","< 50k","1-week","trend","2",91.4,260.4,234.8,3257.9,0.1,772,0,43,-7.6,15.9,-0.9,-0.5,-0.8,0.5,3,1.3
"13","≥ 500k","≥ 5 per 10K","rate","6",2028.2,2287.2,3,4,0.7,14,0.9,207,8,9.4,1.1,2.3,0.9,-1.8,-1.2,1.3
