country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
GIN,1-week,trend,2,104.9,0.4,0.1,0,-2.5,2,2.2,3.4,0.7,2.9,11.2
GIN,2-week,trend,4,99,0.4,0.1,0,-0.3,1.7,1.7,2.4,0.7,1.8,8.3
TZA,≥ 50 weekly,case,5,393.9,1.4,0.6,0.6,4,3.2,2.9,2.8,-0.5,-0.6,7.8
GNB,≥ .5 per 10K,rate,2,1151.5,4.7,1,0,0.5,2.1,2.4,2,0.5,0.4,7.4
MWI,≥ 50 weekly,case,5,537.3,1.6,0.7,0.2,3,2.2,2,2.6,-0,-0.1,6.7
BDI,≥ 1.5 per 10K,rate,4,206.5,1.1,0.3,0,4.5,1.7,2,2.2,0.8,-0.5,6.2
CMR,≥ 1000 total,cum case,7,733,3.9,1,1,14,3.9,2.3,4.2,-2.1,-2.2,6.1
KEN,≥ 50 weekly,case,5,762.4,2.3,1,0,3,1.9,1.9,1.8,0.5,-0.5,5.6
SLE,≥ 5 total,cum case,1,325.6,2.5,0.5,0,-4.1,1.4,1.3,0.5,0.7,1.7,5.6
KEN,≥ 1.5 per 10K,rate,4,762.4,2.3,1,0,3,1.9,1.9,1.8,0.5,-0.5,5.6
BDI,≥ 1 per 10K,rate,3,201.9,1.1,0.2,0,4,1.6,2,1.4,0.8,-0.5,5.3
GHA,≥ 5 total,cum case,1,183.9,0.6,0.3,0,-5.5,0.7,0.9,0.9,0.8,1.6,4.9
SSD,≥ 25 weekly,case,4,631.9,2.8,0.5,0,2.2,2,1.2,1.2,0.6,-0.2,4.8
NGA,≥ 1000 total,cum case,7,724.8,1.7,0.6,0.9,5,2.5,1.6,3.3,-1.8,-0.8,4.8
GHA,≥ 2 weekly,case,1,238.5,0.7,0.2,0,0.5,1.7,1.6,0.7,0.8,-0.2,4.6
SSD,≥ 100 total,cum case,5,559.3,2.6,0.5,0,1.5,1.3,0.9,1.8,0.6,-0,4.6
MOZ,3-week,trend,6,579.7,2.9,1,0,-0.5,1.4,1.6,0.8,0.7,-0,4.5
GHA,≥ 10 total,cum case,2,178,0.5,0.3,0,-4.5,0.6,0.7,1.1,0.8,1.3,4.5
BDI,≥ .5 per 10K,rate,2,172.9,0.9,0.2,0,-0.5,1,1,1.4,0.8,0.1,4.3
ETH,≥ 7.5 per 10K,rate,7,485.6,5.1,0.2,0.7,4.8,2,2.8,1.5,-1.4,-0.7,4.2
UGA,≥ 10 total,cum case,2,49.6,0.3,0,0,1.7,0.1,-0.2,2.6,0.7,0.9,4.1
MOZ,≥ 100 total,cum case,5,575.3,2.8,1,0,0,1.4,1.4,0.8,0.7,-0.2,4.1
SLE,≥ 100 total,cum case,5,346.8,2.2,0.5,0.1,1.2,1.9,0.7,0.9,0.4,0.1,4
TCD,≥ 100 total,cum case,5,773,6.2,0.6,0,1.5,1.4,0.9,1.4,0.6,-0.3,4
MWI,≥ 2.5 per 10K,rate,5,411,1.5,0.5,0.5,3,1.4,1.8,1.7,-0.8,-0.1,4
UGA,≥ 50 total,cum case,4,69.7,0.5,0,0,2.7,2.2,1.1,-0.5,0.7,0.4,3.9000000000000004
BDI,≥ 100 total,cum case,5,199.2,0.9,0.2,0,3.5,1.6,1.3,0.6,0.8,-0.4,3.9000000000000004
MOZ,≥ 5 weekly,case,2,559,2.8,1,0,0,1.2,1.4,0.8,0.7,-0.2,3.9
SSD,≥ 25 total,cum case,3,548,2.6,0.4,0,-1.2,1.2,0.9,0.6,0.6,0.6,3.9
NER,≥ 100 weekly,case,6,1108.8,3.6,1,0.8,7,2.6,1.9,1.8,-1.6,-0.9,3.8
