country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
SDN,≥ 1000 total,cum case,7,1460,0.1,1,0.7,2,2.9,2.8,2.5,-0.7,-0.3,7.2
SLE,≥ 10 total,cum case,2,3791.2,4.4,0.8,0,-4.8,1.9,2,0.5,0.7,1.3,6.4
TZA,≥ 100 weekly,case,6,1117.6,0.8,1,0.7,12.2,3.3,2.6,2,-0.8,-0.8,6.3
MOZ,≥ 10 weekly,case,3,1319.2,0.5,0.8,0,-5.3,1.7,1.8,1.4,0.8,0.5,6.2
COG,≥ 25 total,cum case,3,757,1.3,1,0,-9,1.6,1.6,1.1,0.8,0.7,5.800000000000001
SSD,≥ 5 total,cum case,1,1331.6,1.1,0.7,0,-9.8,1.7,1.4,0,0.6,2.1,5.8
COG,≥ 5 weekly,case,2,744,1.3,1,0,-8,1.5,1.5,1.1,0.8,0.6,5.5
COG,≥ 10 weekly,case,3,744,1.3,1,0,-8,1.5,1.5,1.1,0.8,0.6,5.5
COG,≥ 50 total,cum case,4,744,1.3,1,0,-8,1.5,1.5,1.1,0.8,0.6,5.5
NER,≥ 2.5 per 10K,rate,5,483.7,0.9,1,0.8,5,1.7,2.8,3.1,-1.4,-0.7,5.5
CMR,≥ 100 weekly,case,6,3537.8,1.6,1,0.7,6,2.5,2.4,1.2,-0.7,-0.1,5.3
ZMB,≥ 50 total,cum case,4,4538,1.7,1,0,-4.5,1.6,1.6,0.6,0.4,0.9,5.1000000000000005
CMR,≥ .5 per 10K,rate,2,3469.1,1.6,1,0.7,6.5,2.4,2.4,1.2,-0.7,-0.2,5.1
ZMB,≥ 2 weekly,case,1,4489.4,1.7,1,0,-3.5,1.6,1.6,0.6,0.4,0.7,4.9
ZMB,≥ 5 weekly,case,2,4489.4,1.7,1,0,-3.5,1.6,1.6,0.6,0.4,0.7,4.9
ZMB,≥ 10 weekly,case,3,4489.4,1.7,1,0,-3.5,1.6,1.6,0.6,0.4,0.7,4.9
ZMB,≥ 100 total,cum case,5,4489.4,1.7,1,0,-3.5,1.6,1.6,0.6,0.4,0.7,4.9
MOZ,≥ 25 weekly,case,4,1176,0.5,0.8,0,-3,1.3,1.3,1.4,0.8,-0,4.8
