country,alert_lab,alert_type,alert_stringency,impact_mean,eff_mean,ppv,missed_prop,delay_mean,std_impact,std_eff,std_ppv,std_missed,std_delay,util_score
CMR,≥ 25 total,cum case,3,258,9.9,0.7,0,-0.5,1.9,2.3,2.9,0.5,0.5,8.1
GIN,≥ 10 total,cum case,2,316.3,19.4,0.7,0,0,1.5,1.5,1.4,0.5,0.6,5.5
GIN,2-week,trend,4,243.8,15.5,0.6,0,-3.3,0.7,0.8,1.2,0.5,1.9,5.1
SSD,≥ 25 total,cum case,3,315.7,49.8,0.4,0,0.4,1.5,1,1.2,0.5,0.5,4.7
SLE,1-week,trend,2,118.8,4,0.1,0,-0.5,0.1,0.1,1.7,0.5,2.2,4.6000000000000005
CMR,≥ 100 total,cum case,5,253.5,8.1,0.5,0,2.5,1.8,1.5,1.9,0.5,-1.1,4.6
ETH,≥ 100 weekly,case,6,493.9,24.2,0.6,0.6,3.8,2.4,3.2,1.8,-1.6,-1.3,4.5
GIN,1-week,trend,2,211,13.4,0.5,0,-4.7,0.3,0.4,0.8,0.5,2.4,4.4
GIN,≥ 2 weekly,case,1,276,17,0.7,0,0.7,1.1,1,1.4,0.5,0.4,4.4
SLE,≥ 100 total,cum case,5,218,6.9,0,0,3,2.6,2.5,-0.9,0.5,-0.3,4.4
GIN,≥ .25 per 10K,rate,1,276,17,0.7,0,0.7,1.1,1,1.4,0.5,0.4,4.4
GIN,≥ .5 per 10K,rate,2,276,17,0.7,0,0.7,1.1,1,1.4,0.5,0.4,4.4
GIN,≥ 5 total,cum case,1,256,16.1,0.5,0,-1,0.8,0.9,0.8,0.5,1,4
SLE,≥ 10 total,cum case,2,123.5,4.1,0.1,0,1,0.2,0.2,1.7,0.5,1.1,3.7
GIN,3-week,trend,6,281.3,16.6,0.3,0,0.3,1.1,1,0.2,0.5,0.5,3.3000000000000003
SLE,≥ 5 total,cum case,1,114.5,3.9,0.1,0,1,-0,0,1.7,0.5,1.1,3.3
CMR,≥ 5 per 10K,rate,6,214.7,7.9,0.3,0,1.5,1.2,1.4,0.8,0.5,-0.6,3.3
SSD,≥ 5 total,cum case,1,235.9,50.6,0.3,0,-0.5,0.5,1.1,0.1,0.5,0.9,3.1
SLE,2-week,trend,4,111.8,3.6,0.1,0,0.5,-0.1,-0.2,1.3,0.5,1.5,3
ETH,≥ 50 weekly,case,5,402,17,0.4,0.2,3.7,1.6,1.6,1.1,-0.2,-1.2,2.9000000000000004
COD,≥ 25 weekly,case,4,369.7,3754.6,0.4,0,6.1,0.3,2.8,0.6,0.5,-1.3,2.9
CMR,≥ 1.5 per 10K,rate,4,205.2,6.9,0.2,0,0,1,0.9,0.3,0.5,0.2,2.9
SSD,≥ 10 total,cum case,2,231.6,49.5,0.3,0,-0.4,0.4,1,0.1,0.5,0.8,2.8000000000000003
COD,≥ 1000 total,cum case,7,1385.3,232.3,1,0.9,4,3.5,-0.7,3,-2.1,-0.9,2.8
SSD,2-week,trend,4,184.6,44.1,0.2,0,-3.5,-0.1,0.7,-0.5,0.5,2.1,2.7
COD,≥ 50 weekly,case,5,594.2,3176,0.6,0.6,4,1,2.2,1.5,-1.2,-0.9,2.6
SSD,1-week,trend,2,171.2,42.9,0.1,0,-4.6,-0.3,0.6,-0.9,0.5,2.6,2.5
ETH,≥ 500 total,cum case,6,458.2,15.7,0.6,0.7,3.8,2.1,1.3,2,-1.9,-1.2,2.3000000000000003
SLE,≥ 25 weekly,case,4,188.3,5.8,0,0,4,1.9,1.6,-0.9,0.5,-1,2.1
SSD,≥ .5 per 10K,rate,2,235.8,39,0.3,0,1.1,0.5,0.3,0.6,0.5,0.2,2.1
GIN,≥ 1 per 10K,rate,3,230.7,15.2,0.3,0,1.3,0.6,0.7,0.2,0.5,0.1,2.1
SSD,≥ 1.5 per 10K,rate,4,236.2,45,0.3,0,1.9,0.5,0.7,0.4,0.5,-0.1,2
SLE,≥ 5 per 10K,rate,6,173.8,5.8,0,0,3.5,1.5,1.6,-0.9,0.5,-0.7,2
SSD,≥ 5 per 10K,rate,6,239.1,48.6,0.3,0,2.8,0.5,0.9,0.6,0.5,-0.5,2
COD,1-week,trend,2,92.3,427.7,0.1,0,-16.9,-0.6,-0.5,-0.7,0.5,3,1.7000000000000002
SLE,≥ 7.5 per 10K,rate,7,167,6,0,0,4,1.3,1.8,-0.9,0.5,-1,1.7000000000000002
SSD,≥ 7.5 per 10K,rate,7,231.3,48.4,0.3,0,3.2,0.4,0.9,0.6,0.5,-0.7,1.7000000000000002
CMR,≥ 5 weekly,case,2,172.2,5.7,0.2,0,0,0.5,0.4,-0,0.5,0.2,1.6
COD,≥ 100 total,cum case,5,317.6,2823.7,0.3,0.1,4.5,0.1,1.9,0.3,0.3,-1,1.5999999999999999
SLE,≥ 25 total,cum case,3,104.5,3.4,0.1,0,1.5,-0.3,-0.4,0.9,0.5,0.8,1.5
SSD,≥ 2.5 per 10K,rate,5,219.9,43.9,0.3,0,2.5,0.3,0.7,0.4,0.5,-0.4,1.5
SSD,≥ 2 weekly,case,1,223.7,29.6,0.3,0,1.4,0.3,-0.2,0.6,0.5,0.1,1.3
SSD,≥ 50 total,cum case,4,232.1,34.5,0.3,0,2,0.4,0.1,0.4,0.5,-0.1,1.3
SSD,≥ 1 per 10K,rate,3,214.7,40.9,0.3,0,1.9,0.2,0.5,0.1,0.5,-0.1,1.2
SSD,≥ 100 total,cum case,5,256.4,21.7,0.4,0,2.9,0.7,-0.7,1.1,0.5,-0.5,1.1
SSD,≥ .25 per 10K,rate,1,202.1,33.4,0.3,0,1.1,0.1,0,0.3,0.5,0.2,1.1
ETH,≥ 7.5 per 10K,rate,7,317.7,14.3,0.3,0.1,3,0.8,1,0.1,0,-0.8,1.1
